;Pesquisador Responsável;UF;Nome;Ano de Criação;Site;Natureza de Autarquia;Criada por Lei;Resulta de Fusão;Competência Normativa;Autonomia Financeira;Autonomia Patrimonial;Autonomia Técnica;Autonomia Administrativa;Poder Concedente;Poder Sancionatório;Poder TAC;Programa de Compliance;Taxa de Regulação;Multa;Assessoria Jurídica;Assessores Procuradores;Algum Procurador;Assessoria Vinculada PGE;Ouvidoria;Ouvidor Mandato Fixo;Servidores Estatutários;Participação Social;Agenda Regulatória;Análise de Impacto;Nomeação Exclusivamente pelo Governador;Eleição Interna Presidente;Mandato Definido;Mandato Não-coincidente Diretores;Mandato Não-coincidente Governador;Tempo Mandato (meses);Experiência Prévia;Tempo Experiência (anos);Sabatina Assembleia;Aprovação Assembleia;Vedação Filiação Partidária;Alguma Vedação Setor Público;Algum Impedimento Prévio Setor;Quarentena;Tempo Quarentena (meses);Disciplina Mandatos Provisórios;Indicação Livre Mandatos Provisórios;Prevê Casos Exoneração;Prevê Procedimento Exoneração
58;Daniel;RJ;AGETRANSP;2005;www.agetransp.rj.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;0;0;1;1
19;Julia;RJ;AGETRANSP;2005;www.agetransp.rj.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;0;0;1;1
48;Valéria;RJ;AGETRANSP;2005;www.agetransp.rj.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;0;48;1;10;1;1;1;0;0;1;12;0;0;1;1
9;Lucas;GO;AGR;1999;https://www.agr.go.gov.br/a-agencia/;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;1;0;4;0;0;1;1
38;Thierry;GO;AGR;1999;https://www.agr.go.gov.br/a-agencia/;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;1;0;4;0;0;1;1
66;Daniel;SE;AGRESE;2009;www.agrese.se.gov.br;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;24;0;-1;0;0;1;0;0;1;12;0;0;1;1
27;Julia;SE;AGRESE;2009;www.agrese.se.gov.br;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;24;0;-1;0;0;1;0;0;1;12;0;0;1;1
56;Valeria;SE;AGRESE;2009;www.agrese.se.gov.br;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;24;0;-1;0;0;1;0;0;1;12;0;0;1;1
18;Bernardo;PI;AGRESPI;2017;http://www.agrespi.pi.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;48;0;0;0;1;0;0;1;1;12;1;1;1;1
47;José Vasco;PI;AGRESPI;2017;http://www.agrespi.pi.gov.br;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;48;0;0;0;1;0;0;1;1;12;1;1;1;1
7;Bernardo;CE;ARCE;1997;https://www.arce.ce.gov.br/institucional/;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;60;1;-1;0;1;0;0;0;1;4;1;1;1;1
36;José Vasco;CE;ARCE;1997;https://www.arce.ce.gov.br/institucional/;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;60;1;-1;0;1;0;0;0;1;4;1;1;1;1
14;Bernardo;PA;ARCON;1997;http://www.arcon.pa.gov.br/;1;1;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;48;0;-1;0;1;0;0;0;1;12;1;0;1;0
43;José Vasco;PA;ARCON;1997;http://www.arcon.pa.gov.br/;1;1;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;48;0;-1;0;1;0;0;0;1;12;1;0;1;0
24;Lucas;SC;ARESC;2015;http://www.aresc.sc.gov.br/;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;48;0;-1;1;1;0;0;0;1;6;0;0;1;1
53;Thierry;SC;ARESC;2015;http://www.aresc.sc.gov.br/;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;48;0;-1;1;1;0;0;0;1;6;0;0;1;1
64;Daniel;PB;ARPB;2005;http://arpb.pb.gov.br/;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;0;1;12;0;0;1;1
15;Julia;PB;ARPB;2005;http://arpb.pb.gov.br/;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;0;1;12;0;0;1;1
44;Valeria;PB;ARPB;2005;http://arpb.pb.gov.br/;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;0;1;12;0;0;1;1
65;Daniel;PE;ARPE;2000;www.arpe.pe.gov.br;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;48;0;-1;1;1;0;0;0;1;4;0;0;1;0
17;Julia;PE;ARPE;2000;www.arpe.pe.gov.br;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;48;0;-1;1;1;0;0;0;1;4;0;0;1;0
46;Valeria;PE;ARPE;2000;www.arpe.pe.gov.br;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;48;0;-1;1;1;0;0;0;1;4;0;0;1;0
13;Bernardo;MG;ARSAE;2009;http://www.arsae.mg.gov.br/;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;1;1;1;48;0;-1;0;1;0;0;1;1;12;0;0;1;1
42;José Vasco;MG;ARSAE;2009;http://www.arsae.mg.gov.br/;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;1;1;1;48;0;-1;0;1;0;0;1;1;12;0;0;1;1
62;Daniel;AL;ARSAL;2001;http://www.arsal.al.gov.br/;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;36;1;-1;0;1;1;0;0;1;12;0;0;1;1
2;Julia;AL;ARSAL;2001;http://www.arsal.al.gov.br/;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;36;1;-1;0;1;1;0;0;1;12;0;0;1;1
31;Valeria;AL;ARSAL;2001;http://www.arsal.al.gov.br/;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;36;1;-1;0;1;1;0;0;1;12;0;0;1;1
3;Lucas;AP;ARSAP;2001;https://www.portal.ap.gov.br/estrutura/agencia-reguladora-de-servicos-publicos-do-amapa;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;60;1;2;0;1;0;0;1;1;12;1;1;1;1
32;Thierry;AP;ARSAP;2001;https://www.portal.ap.gov.br/estrutura/agencia-reguladora-de-servicos-publicos-do-amapa;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;60;1;2;0;1;0;0;1;1;12;1;1;1;1
21;Lucas;RN;ARSEP;1999;https://www.arsep.rn.gov.br/2022/;1;1;0;1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;48;1;-1;0;1;0;0;0;1;6;1;1;1;1
