ID;Pesquisador Responsável;Nome;Natureza de Autarquia;Criada por Lei;Resulta de Fusão;Competência Normativa;Autonomia Financeira;Autonomia Patrimonial;Autonomia Técnica;Autonomia Administrativa;Poder Concedente;Poder Sancionatório;Poder TAC;Programa de Compliance;Taxa de Regulação;Multa;Assessoria Jurídica;Assessores Procuradores;Algum Procurador;Assessoria Vinculada PGE;Ouvidoria;Ouvidor Mandato Fixo;Servidores Estatutários;Participação Social;Agenda Regulatória;Análise de Impacto;Nomeação Exclusivamente pelo Governador;Eleição Interna Presidente;Mandato Definido;Mandato Não-coincidente Diretores;Mandato Não-coincidente Governador;Tempo Mandato (meses);Experiência Prévia;Tempo Experiência (anos);Sabatina Assembleia;Aprovação Assembleia;Vedação Filiação Partidária;Alguma Vedação Setor Público;Algum Impedimento Prévio Setor;Quarentena;Tempo Quarentena (meses);Disciplina Mandatos Provisórios;Indicação Livre Mandatos Provisórios;Prevê Casos Exoneração;Prevê Procedimento Exoneração
42;José Vasco;ARSAE;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;-1;-1;1;1;0;1;1;0;1;;0;1;1;1;48;0;-1;0;1;1;0;1;1;12;0;-1;1;0
55;José Vasco;ARSESP;1;1;0;1;1;-1;1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;60;1;5;0;1;1;0;0;1;4;0;-1;1;1
6;Julia;AGERBA;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;-1;1;5;0;0;1;0;0;1;12;0;-1;1;0
5;Julia;AGERSA;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;-1;0;0;0;0;0;0;-1;0;-1;-1;-1
19;Julia;AGETRANSP;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;48;1;10;0;1;1;0;0;1;12;1;0;1;1
27;Julia;AGRESE;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;1;1;0;0;1;1;1;1;24;0;-1;0;0;1;0;0;1;12;1;0;1;1
15;Julia;ARPB;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;48;1;-1;0;0;0;0;0;1;12;0;-1;1;1
17;Julia;ARPE;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;48;0;-1;1;1;0;0;0;1;4;1;0;1;0
2;Julia;ARSAL;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;36;1;-1;0;1;1;0;0;0;-1;1;0;1;1
8;Julia;ARSP;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;0;0;36;0;-1;0;0;0;0;0;0;-1;1;1;0;1
